country,shirt_no,position,player,dob,caps,intl_goals,club,player_id,minutes_played,club_goals,xg,np_xg,assists,xa,has_club_form,np_xg_per90
Czech Republic,15,FW,Pavel Šulc,2000-12-29,21,5,Lyon,,,,,,,,false,
Czech Republic,16,GK,Jindřich Staněk,1996-04-27,14,0,Slavia Prague,,,,,,,,false,
Czech Republic,17,MF,Lukáš Provod,1996-10-23,38,3,Slavia Prague,,,,,,,,false,
Czech Republic,18,MF,Michal Sadílek,1999-05-31,35,1,Slavia Prague,,,,,,,,false,
Czech Republic,19,FW,Tomáš Chorý,1995-01-26,22,7,Slavia Prague,,,,,,,,false,
Czech Republic,20,DF,Jaroslav Zelený,1992-08-20,23,0,Sparta Prague,,,,,,,,false,
Czech Republic,21,DF,David Douděra,1998-05-31,17,2,Slavia Prague,,,,,,,,false,
Czech Republic,22,MF,Tomáš Souček,1995-02-27,90,17,West Ham United,8288,2586.0,9.0,8.068854354321957,8.068854354321957,1.0,0.947371281683445,true,0.28081859701816553
Czech Republic,23,GK,Lukáš Horníček,2002-07-13,1,0,Braga,,,,,,,,false,
Czech Republic,24,MF,Alexandr Sojka,2003-04-02,2,0,Viktoria Plzeň,,,,,,,,false,
Czech Republic,25,MF,Hugo Sochůrek,2008-06-07,1,0,Sparta Prague,,,,,,,,false,
Czech Republic,26,FW,Denis Višinský,2003-03-21,2,1,Viktoria Plzeň,,,,,,,,false,
Mexico,1,GK,Raúl Rangel,2000-02-25,14,0,Guadalajara,13201,1675.0,0.0,0.07389555126428604,0.07389555126428604,1.0,0.758505895268172,true,0.003970507232110892
Mexico,2,DF,Jorge Sánchez,1997-12-10,59,3,PAOK,,,,,,,,false,
Mexico,3,DF,César Montes,1997-02-24,67,4,Lokomotiv Moscow,11288,,,,,,,false,
Mexico,4,DF,Edson Álvarez (captain),1997-10-24,98,7,Fenerbahçe,11926,1772.0,0.0,0.319299204275012,0.319299204275012,1.0,0.7971771331503987,true,0.016217228208098802
Mexico,5,DF,Johan Vásquez,1998-10-22,46,3,Genoa,9985,3036.0,3.0,2.439728694036603,2.439728694036603,0.0,0.33457772713154554,true,0.07232397314337756
Mexico,6,MF,Érik Lira,2000-05-08,25,0,Cruz Azul,,,,,,,,false,
Mexico,7,MF,Luis Romo,1995-06-05,63,4,Guadalajara,,,,,,,,false,
Mexico,8,MF,Álvaro Fidalgo,1997-04-09,4,0,Real Betis,,,,,,,,false,
Mexico,9,FW,Raúl Jiménez,1991-05-05,124,45,Fulham,4105,2531.0,12.0,14.405358291231096,12.121851704083383,3.0,4.079181319102645,true,0.4310417437248141
Mexico,10,FW,Alexis Vega,1997-11-25,52,7,Toluca,,,,,,,,false,
Mexico,11,FW,Santiago Giménez,2001-04-18,47,6,Milan,13453,665.0,5.0,4.460054490715265,3.6987556889653206,2.0,1.6851547174155712,true,0.5005834767020735
Mexico,12,GK,Carlos Acevedo,1996-04-19,7,0,Santos Laguna,,,,,,,,false,
Mexico,13,GK,Guillermo Ochoa,1985-07-13,152,0,AEL Limassol,2330,,,,,,,false,
Mexico,14,FW,Armando González,2003-04-20,7,1,Guadalajara,,,,,,,,false,
Mexico,15,DF,Israel Reyes,2000-05-23,34,2,América,,,,,,,,false,
Mexico,16,FW,Julián Quiñones,1997-03-24,22,2,Al-Qadsiah,,,,,,,,false,
Mexico,17,MF,Orbelín Pineda,1996-03-24,92,12,AEK Athens,,,,,,,,false,
Mexico,18,MF,Obed Vargas,2005-08-05,6,0,Atlético Madrid,,,,,,,,false,
Mexico,19,MF,Gilberto Mora,2008-10-14,8,0,Tijuana,,,,,,,,false,
Mexico,20,DF,Mateo Chávez,2004-05-12,10,0,AZ,,,,,,,,false,
Mexico,21,FW,César Huerta,2000-12-03,26,3,Anderlecht,,,,,,,,false,
Mexico,22,FW,Guillermo Martínez,1995-03-15,12,3,Pumas UNAM,,,,,,,,false,
Mexico,23,DF,Jesús Gallardo,1994-08-15,121,3,Toluca,,,,,,,,false,
Mexico,24,MF,Luis Chávez,1996-01-15,45,5,Dynamo Moscow,,,,,,,,false,
Mexico,25,FW,Roberto Alvarado,1998-09-07,67,5,Guadalajara,,,,,,,,false,
Mexico,26,MF,Brian Gutiérrez,2003-06-17,7,2,Guadalajara,,,,,,,,false,
South Africa,1,GK,Ronwen Williams (captain),1992-01-21,62,0,Mamelodi Sundowns,,,,,,,,false,
South Africa,2,DF,Thabang Matuludi,1999-01-14,3,0,Polokwane City,,,,,,,,false,
South Africa,3,DF,Khulumani Ndamane,2004-02-05,5,0,Mamelodi Sundowns,,,,,,,,false,
South Africa,4,MF,Teboho Mokoena,1997-01-24,51,9,Mamelodi Sundowns,,,,,,,,false,
South Africa,5,MF,Thalente Mbatha,2000-03-06,15,3,Orlando Pirates,,,,,,,,false,
South Africa,6,DF,Aubrey Modiba,1995-07-22,44,3,Mamelodi Sundowns,,,,,,,,false,
South Africa,7,FW,Oswin Appollis,2001-08-25,26,8,Orlando Pirates,,,,,,,,false,
South Africa,8,FW,Tshepang Moremi,2000-10-02,10,1,Orlando Pirates,,,,,,,,false,
South Africa,9,FW,Lyle Foster,2000-09-03,27,10,Burnley,7498,,,,,,,false,
South Africa,10,FW,Relebohile Mofokeng,2004-10-23,13,0,Orlando Pirates,,,,,,,,false,
South Africa,11,MF,Themba Zwane,1989-08-03,54,12,Mamelodi Sundowns,,,,,,,,false,
South Africa,12,FW,Thapelo Maseko,2003-11-11,10,1,AEL Limassol,,,,,,,,false,
South Africa,13,MF,Sphephelo Sithole,1999-03-03,28,1,Tondela,,,,,,,,false,
South Africa,14,DF,Mbekezeli Mbokazi,2005-09-19,10,1,Chicago Fire FC,,,,,,,,false,
South Africa,15,FW,Iqraam Rayners,1995-12-19,14,4,Mamelodi Sundowns,,,,,,,,false,
South Africa,16,GK,Sipho Chaine,1996-12-14,4,0,Orlando Pirates,,,,,,,,false,
South Africa,17,FW,Evidence Makgopa,2000-06-05,26,6,Orlando Pirates,,,,,,,,false,
South Africa,18,DF,Samukele Kabini,2004-03-15,6,0,Molde,,,,,,,,false,
South Africa,19,DF,Nkosinathi Sibisi,1995-09-22,20,0,Orlando Pirates,,,,,,,,false,
South Africa,20,DF,Khuliso Mudau,1995-04-26,32,1,Mamelodi Sundowns,,,,,,,,false,
South Africa,21,DF,Ime Okon,2004-02-20,8,1,Hannover 96,,,,,,,,false,
South Africa,22,GK,Ricardo Goss,1994-04-02,5,0,Siwelele,,,,,,,,false,
South Africa,23,MF,Jayden Adams,2001-05-05,5,0,Mamelodi Sundowns,,,,,,,,false,
South Africa,24,DF,Olwethu Makhanya,2004-04-30,1,0,Philadelphia Union,,,,,,,,false,
South Africa,25,FW,Kamogelo Sebelebele,2002-07-21,3,0,Orlando Pirates,,,,,,,,false,
South Africa,26,DF,Bradley Cross,2001-01-30,1,0,Kaizer Chiefs,,,,,,,,false,
South Korea,1,GK,Kim Seung-gyu,1990-09-30,87,0,FC Tokyo,,,,,,,,false,
South Korea,2,DF,Lee Han-beom,2002-06-17,8,0,Midtjylland,,,,,,,,false,
South Korea,3,MF,Lee Gi-hyuk,2000-07-07,3,0,Gangwon FC,,,,,,,,false,
South Korea,4,DF,Kim Min-jae,1996-11-15,79,4,Bayern Munich,10986,2307.0,2.0,2.057914473116398,2.057914473116398,0.0,0.2642551548779011,true,0.08028274927632241
South Korea,5,DF,Kim Tae-hyeon,2000-09-17,7,0,Kashima Antlers,,,,,,,,false,
South Korea,6,MF,Hwang In-beom,1996-09-20,73,6,Feyenoord,,,,,,,,false,
South Korea,7,FW,Son Heung-min (captain),1992-07-08,144,56,Los Angeles FC,453,2135.0,7.0,7.906742995604873,6.384405327960849,9.0,9.04414401575923,true,0.26913184052293976
South Korea,8,MF,Paik Seung-ho,1997-03-17,27,3,Birmingham City,,,,,,,,false,
South Korea,9,FW,Cho Gue-sung,1998-01-25,44,12,Midtjylland,,,,,,,,false,
South Korea,10,MF,Lee Jae-sung,1992-08-10,105,15,Mainz 05,9783,2711.0,7.0,6.852779902517796,6.852779902517796,6.0,4.826654347591102,true,0.22749914836835175
South Korea,11,MF,Hwang Hee-chan,1996-01-26,79,17,Wolverhampton Wanderers,8845,623.0,2.0,0.7990479003638029,0.7990479003638029,0.0,0.2850785907357931,true,0.1154322809514322
South Korea,12,GK,Song Bum-keun,1997-10-15,3,0,Jeonbuk Hyundai Motors,,,,,,,,false,
South Korea,13,DF,Lee Tae-seok,2002-07-28,15,1,Austria Wien,,,,,,,,false,
South Korea,14,DF,Cho Wi-je,2001-08-25,1,0,Jeonbuk Hyundai Motors,,,,,,,,false,
South Korea,15,DF,Kim Moon-hwan,1995-08-01,35,0,Daejeon Hana Citizen,,,,,,,,false,
South Korea,16,DF,Park Jin-seob,1995-10-23,14,1,Zhejiang,,,,,,,,false,
South Korea,17,MF,Bae Jun-ho,2003-08-21,13,2,Stoke City,,,,,,,,false,
South Korea,18,FW,Oh Hyeon-gyu,2001-04-12,27,6,Beşiktaş,,,,,,,,false,
South Korea,19,MF,Lee Kang-in,2001-02-19,47,11,Paris Saint-Germain,7313,1670.0,6.0,4.310670820996165,4.310670820996165,6.0,6.810500537976623,true,0.23231160113152985
South Korea,20,MF,Yang Hyun-jun,2002-05-25,9,0,Celtic,,,,,,,,false,
South Korea,21,GK,Jo Hyeon-woo,1991-09-25,48,0,Ulsan HD,,,,,,,,false,
South Korea,22,DF,Seol Young-woo,1998-12-05,34,0,Red Star Belgrade,,,,,,,,false,
South Korea,23,DF,Jens Castrop,2003-07-29,7,0,Borussia Mönchengladbach,,,,,,,,false,
South Korea,24,MF,Kim Jin-gyu,1997-02-24,22,3,Jeonbuk Hyundai Motors,,,,,,,,false,
South Korea,25,MF,Eom Ji-sung,2002-05-09,9,2,Swansea City,,,,,,,,false,
South Korea,26,MF,Lee Dong-gyeong,1997-09-20,18,4,Ulsan HD,,,,,,,,false,
Bosnia and Herzegovina,1,GK,Nikola Vasilj,1995-12-02,26,0,FC St. Pauli,12973,2970.0,0.0,0.0,0.0,0.0,0.017461461946368217,true,0.0
Bosnia and Herzegovina,2,DF,Nihad Mujakić,1998-04-15,12,1,Gaziantep,,,,,,,,false,
Bosnia and Herzegovina,3,DF,Dennis Hadžikadunić,1998-07-09,32,0,Sampdoria,,,,,,,,false,
Bosnia and Herzegovina,4,DF,Tarik Muharemović,2003-02-28,14,1,Sassuolo,,,,,,,,false,
Bosnia and Herzegovina,5,DF,Sead Kolašinac,1993-06-20,65,0,Atalanta,342,1917.0,0.0,0.8305487222969532,0.8305487222969532,2.0,2.8309976141899824,true,0.038992897760420336
Bosnia and Herzegovina,6,MF,Benjamin Tahirović,2003-03-03,28,2,Brøndby,,,,,,,,false,
Bosnia and Herzegovina,7,DF,Amar Dedić,2002-08-18,28,1,Benfica,13456,289.0,0.0,0.715293537825346,0.715293537825346,1.0,0.8562837615609169,true,0.22275577302519425
Bosnia and Herzegovina,8,MF,Armin Gigović,2002-04-06,20,1,Young Boys,9062,1900.0,5.0,1.9713275507092476,1.9713275507092476,1.0,2.4431175496429205,true,0.09337867345464858
Bosnia and Herzegovina,9,FW,Samed Baždar,2004-01-31,13,1,Jagiellonia Białystok,,,,,,,,false,
Bosnia and Herzegovina,10,FW,Ermedin Demirović,1998-03-25,40,4,VfB Stuttgart,6496,1847.0,15.0,17.190185952931643,15.674632657319307,1.0,2.3308997359126806,true,0.7637882724194573
Bosnia and Herzegovina,11,FW,Edin Džeko (captain),1986-03-17,148,73,Schalke 04,,,,,,,,false,
Bosnia and Herzegovina,12,GK,Mladen Jurkas,2007-10-07,0,0,Borac Banja Luka,,,,,,,,false,
Bosnia and Herzegovina,13,MF,Ivan Bašić,2002-04-30,17,0,Astana,,,,,,,,false,
Bosnia and Herzegovina,14,MF,Ivan Šunjić,1996-10-09,11,0,Pafos,,,,,,,,false,
Bosnia and Herzegovina,15,MF,Amar Memić,2001-01-20,13,1,Viktoria Plzeň,,,,,,,,false,
Bosnia and Herzegovina,16,MF,Amir Hadžiahmetović,1997-03-08,36,0,Hull City,,,,,,,,false,
Bosnia and Herzegovina,17,MF,Dženis Burnić,1998-05-22,20,0,Karlsruher SC,,,,,,,,false,
Bosnia and Herzegovina,18,DF,Nikola Katić,1996-10-10,17,2,Schalke 04,,,,,,,,false,
Bosnia and Herzegovina,19,FW,Kerim Alajbegović,2007-09-21,10,1,Red Bull Salzburg,,,,,,,,false,
Bosnia and Herzegovina,20,FW,Esmir Bajraktarević,2005-03-10,16,1,PSV Eindhoven,,,,,,,,false,
Bosnia and Herzegovina,21,DF,Stjepan Radeljić,1997-09-05,5,0,Rijeka,,,,,,,,false,
Bosnia and Herzegovina,22,GK,Martin Zlomislić,1998-08-16,3,0,Rijeka,,,,,,,,false,
Bosnia and Herzegovina,23,FW,Haris Tabaković,1994-06-20,10,4,Borussia Mönchengladbach,13013,789.0,3.0,4.058871641755104,4.058871641755104,1.0,1.7171009220182896,true,0.4629891606564757
Bosnia and Herzegovina,24,DF,Arjan Malić,2005-08-28,8,0,Sturm Graz,,,,,,,,false,
Bosnia and Herzegovina,25,FW,Jovo Lukić,1998-11-28,3,0,Universitatea Cluj,,,,,,,,false,
Bosnia and Herzegovina,26,MF,Ermin Mahmić,2005-03-14,2,0,Slovan Liberec,,,,,,,,false,
Canada,1,GK,Dayne St. Clair,1997-05-09,20,0,Inter Miami CF,,,,,,,,false,
Canada,2,DF,Alistair Johnston,1998-10-08,58,1,Celtic,,,,,,,,false,
Canada,3,DF,Alfie Jones,1997-10-07,2,0,Middlesbrough,,,,,,,,false,
Canada,4,DF,Luc de Fougerolles,2005-10-12,13,0,Dender,,,,,,,,false,
Canada,5,DF,Joel Waterman,1996-01-24,17,0,Chicago Fire FC,,,,,,,,false,
Canada,6,MF,Mathieu Choinière,1999-02-07,23,0,Los Angeles FC,,,,,,,,false,
Canada,7,MF,Stephen Eustáquio,1996-12-21,56,4,Los Angeles FC,,,,,,,,false,
Canada,8,MF,Ismaël Koné,2002-06-16,40,4,Sassuolo,13069,803.0,2.0,0.4398796819150448,0.4398796819150448,1.0,1.8331198319792747,true,0.04930158327814948
Canada,9,FW,Cyle Larin,1995-04-17,90,30,Southampton,11340,1781.0,7.0,7.244329610839486,6.501052031293511,2.0,1.5815904028713703,true,0.32852031601146325
Canada,10,FW,Jonathan David,2000-01-14,77,39,Juventus,8636,2535.0,16.0,19.4547688215971,14.134102882817388,5.0,4.703816022723913,true,0.5018024692124516
Canada,11,MF,Liam Millar,1999-09-27,41,1,Hull City,,,,,,,,false,
Canada,12,FW,Tani Oluwaseyi,2000-05-15,24,2,Villarreal,,,,,,,,false,
Canada,13,DF,Derek Cornelius,1997-11-25,44,1,Rangers,12769,1439.0,0.0,1.2505614198744297,1.2505614198744297,0.0,0.1212597880512476,true,0.078214404300694
Canada,14,MF,Jacob Shaffelburg,1999-11-26,31,6,Los Angeles FC,,,,,,,,false,
Canada,15,DF,Moïse Bombito,2000-03-30,20,0,Nice,12969,2197.0,0.0,0.667370643466711,0.667370643466711,0.0,0.09679630119353533,true,0.02733880651433955
Canada,16,GK,Maxime Crépeau,1994-05-11,32,0,Orlando City SC,,,,,,,,false,
Canada,17,FW,Tajon Buchanan,1999-02-08,60,8,Villarreal,12322,482.0,1.0,0.9770353380590677,0.9770353380590677,2.0,0.8337651789188385,true,0.1824339842848882
Canada,18,GK,Owen Goodman,2003-11-27,0,0,Barnsley,,,,,,,,false,
Canada,19,DF,Alphonso Davies (captain),2000-11-02,58,15,Bayern Munich,7345,1563.0,1.0,1.8767102975398302,1.8767102975398302,2.0,1.8741600718349218,true,0.10806393267983667
Canada,20,FW,Ali Ahmed,2000-10-10,24,1,Norwich City,,,,,,,,false,
Canada,21,MF,Jonathan Osorio,1992-06-12,90,10,Toronto FC,,,,,,,,false,
Canada,22,DF,Richie Laryea,1995-01-07,75,1,Toronto FC,,,,,,,,false,
Canada,23,DF,Niko Sigur,2003-09-09,19,2,Hajduk Split,,,,,,,,false,
Canada,24,FW,Promise David,2001-07-03,10,3,Union Saint-Gilloise,,,,,,,,false,
Canada,25,MF,Nathan Saliba,2004-02-07,15,2,Anderlecht,,,,,,,,false,
Canada,26,FW,Jayden Nelson,2002-09-26,14,3,Austin FC,,,,,,,,false,
Qatar,1,GK,Mahmud Abunada,2000-02-05,5,0,Al-Rayyan,,,,,,,,false,
Qatar,2,DF,Pedro Miguel,1990-08-06,99,3,Al-Sadd,687,1057.0,10.0,6.393306020647287,4.870708409696817,1.0,1.4419082198292017,true,0.41472446250966283
Qatar,3,DF,Lucas Mendes,1990-07-03,25,1,Al-Wakrah,,,,,,,,false,
Qatar,4,DF,Issa Laye,1997-12-22,4,0,Al-Arabi,,,,,,,,false,
Qatar,5,DF,Jassem Gaber,2002-02-20,32,1,Al-Rayyan,,,,,,,,false,
Qatar,6,MF,Abdulaziz Hatem,1990-01-01,117,11,Al-Rayyan,,,,,,,,false,
Qatar,7,FW,Ahmed Alaaeldin,1993-01-31,68,9,Al-Rayyan,,,,,,,,false,
Qatar,8,FW,Edmilson Junior,1994-08-19,16,0,Al-Duhail,,,,,,,,false,
Qatar,9,FW,Mohammed Muntari,1993-12-20,67,16,Al-Gharafa,,,,,,,,false,
Qatar,10,FW,Hassan Al-Haydos (captain),1990-12-11,186,41,Al-Sadd,,,,,,,,false,
Qatar,11,FW,Akram Afif,1996-11-18,125,39,Al-Sadd,,,,,,,,false,
Qatar,12,MF,Karim Boudiaf,1990-09-16,118,5,Al-Duhail,,,,,,,,false,
Qatar,13,DF,Ayoub Al-Oui,2005-03-11,6,0,Al-Gharafa,,,,,,,,false,
Qatar,14,DF,Homam Ahmed,1999-08-25,68,3,Cultural Leonesa,,,,,,,,false,
Qatar,15,FW,Yusuf Abdurisag,1999-08-06,39,3,Al-Wakrah,,,,,,,,false,
Qatar,16,DF,Boualem Khoukhi,1990-07-09,116,20,Al-Sadd,,,,,,,,false,
Qatar,17,MF,Ahmed Al-Ganehi,2000-09-22,13,1,Al-Gharafa,,,,,,,,false,
Qatar,18,DF,Sultan Al-Brake,1996-04-07,17,0,Al-Duhail,,,,,,,,false,
Qatar,19,FW,Almoez Ali,1996-08-19,115,55,Al-Duhail,,,,,,,,false,
Qatar,20,MF,Ahmed Fathy,1993-01-25,48,0,Al-Arabi,,,,,,,,false,
Qatar,21,GK,Salah Zakaria,1999-04-24,8,0,Al-Duhail,,,,,,,,false,
Qatar,22,GK,Meshaal Barsham,1998-02-14,52,0,Al-Sadd,,,,,,,,false,
Qatar,23,MF,Assim Madibo,1996-10-22,51,0,Al-Wakrah,,,,,,,,false,
Qatar,24,FW,Tahsin Jamshid,2006-06-16,3,0,Al-Duhail,,,,,,,,false,
Qatar,25,DF,Al-Hashmi Al-Hussain,2003-08-15,8,0,Al-Arabi,,,,,,,,false,
Qatar,26,FW,Mohamed Manai,2002-10-25,10,0,Al-Shamal,,,,,,,,false,
Switzerland,1,GK,Gregor Kobel,1997-12-06,21,0,Borussia Dortmund,5288,2880.0,0.0,0.0,0.0,0.0,0.01594773679971695,true,0.0
Switzerland,2,DF,Miro Muheim,1998-03-24,10,0,Hamburger SV,,,,,,,,false,
Switzerland,3,DF,Silvan Widmer,1993-03-05,60,5,Mainz 05,1139,456.0,0.0,0.6609293781220913,0.6609293781220913,1.0,0.3436503168195486,true,0.13044658778725488
Switzerland,4,DF,Nico Elvedi,1996-09-30,67,3,Borussia Mönchengladbach,212,2141.0,1.0,1.8375461101531982,1.8375461101531982,1.0,0.23737820982933044,true,0.07724388132358144
Switzerland,5,DF,Manuel Akanji,1995-07-19,81,4,Inter Milan,6490,2017.0,0.0,1.0098738074302673,1.0098738074302673,0.0,0.42468701861798763,true,0.045061300281965325
Switzerland,6,MF,Denis Zakaria,1996-11-20,65,3,Monaco,6147,2156.0,6.0,4.443915609270334,2.9237253703176975,4.0,1.5885952413082123,true,0.12204790506892058
Switzerland,7,FW,Breel Embolo,1997-02-14,86,24,Rennes,5356,1853.0,6.0,12.377913488075137,12.377913488075137,4.0,5.882575495168567,true,0.601193855330147
Switzerland,8,MF,Remo Freuler,1992-04-15,88,11,Bologna,1488,3230.0,1.0,1.4950652588158846,1.4950652588158846,2.0,1.9593567317351699,true,0.04165816510632496
Switzerland,9,MF,Johan Manzambi,2005-10-14,12,3,SC Freiburg,13102,332.0,2.0,1.9394828099757433,1.9394828099757433,1.0,0.3676939085125923,true,0.525763412342822
Switzerland,10,MF,Granit Xhaka (captain),1992-09-27,146,17,Sunderland,204,2905.0,2.0,0.8061828929930925,0.8061828929930925,7.0,4.030918525531888,true,0.024976406323366035
Switzerland,11,FW,Dan Ndoye,2000-10-25,31,8,Nottingham Forest,8662,2166.0,8.0,8.556749558076262,7.034151768311858,4.0,4.083700603805482,true,0.2922777743065869
Switzerland,12,GK,Yvon Mvogo,1994-06-06,13,0,Lorient,6110,,,,,,,false,
Switzerland,13,DF,Ricardo Rodriguez,1992-08-25,138,9,Real Betis,308,1282.0,0.0,0.23641094379127026,0.23641094379127026,1.0,0.3478721398860216,true,0.016596712122632078
Switzerland,14,MF,Ardon Jashari,2002-07-30,8,0,Milan,,,,,,,,false,
Switzerland,15,MF,Djibril Sow,1997-02-06,52,0,Sevilla,2624,2095.0,2.0,2.67853897344321,2.67853897344321,1.0,2.0170963145792484,true,0.11506850005245294
Switzerland,16,FW,Christian Fassnacht,1993-11-11,23,5,Young Boys,,,,,,,,false,
Switzerland,17,FW,Rubén Vargas,1998-08-05,61,11,Sevilla,7810,981.0,2.0,3.5569221433252096,3.5569221433252096,1.0,1.7076555117964745,true,0.3263231324151568
Switzerland,18,DF,Eray Cömert,1998-02-04,22,0,Valencia,10382,1800.0,0.0,1.2057364508509636,1.2057364508509636,0.0,0.0,true,0.06028682254254818
Switzerland,19,FW,Noah Okafor,2000-05-24,25,2,Leeds United,11966,435.0,1.0,2.230065990239382,2.230065990239382,0.0,0.7641346864402294,true,0.4613929634978032
Switzerland,20,MF,Michel Aebischer,1997-01-06,40,2,Pisa,10383,729.0,0.0,0.4345237482339144,0.4345237482339144,0.0,0.3845790233463049,true,0.05364490718937215
Switzerland,21,GK,Marvin Keller,2002-07-03,1,0,Young Boys,,,,,,,,false,
Switzerland,22,MF,Fabian Rieder,2002-02-16,28,1,FC Augsburg,12038,855.0,1.0,1.4751421865075827,1.4751421865075827,3.0,2.142737478017807,true,0.15527812489553502
Switzerland,23,FW,Zeki Amdouni,2000-12-04,29,11,Burnley,11701,,,,,,,false,
Switzerland,24,DF,Aurèle Amenda,2003-07-31,7,0,Eintracht Frankfurt,12955,72.0,0.0,0.05261797457933426,0.05261797457933426,0.0,0.48182034492492676,true,0.06577246822416782
Switzerland,25,DF,Luca Jaquez,2003-06-02,3,0,VfB Stuttgart,13425,250.0,0.0,0.11879250407218933,0.11879250407218933,0.0,0.0,true,0.04276530146598816
Switzerland,26,FW,Cedric Itten,1996-12-27,15,5,Fortuna Düsseldorf,,,,,,,,false,
Brazil,1,GK,Alisson,1992-10-02,78,0,Liverpool,1257,2511.0,0.0,0.0,0.0,0.0,0.4981032609939575,true,0.0
Brazil,2,MF,Éderson Silva,1999-07-07,3,0,Atalanta,10404,2898.0,4.0,4.337195685133338,4.337195685133338,1.0,5.689773496240377,true,0.13469551817184278
Brazil,3,DF,Gabriel Magalhães,1997-12-19,17,1,Arsenal,5613,2376.0,3.0,4.300341751426458,4.300341751426458,1.0,1.2210565768182278,true,0.16289173300857798
Brazil,4,DF,Marquinhos (captain),1994-05-14,105,7,Paris Saint-Germain,3297,1718.0,2.0,1.4838171489536762,1.4838171489536762,0.0,0.9586863908916712,true,0.07773198102784101
Brazil,5,MF,Casemiro,1992-02-23,86,9,Manchester United,2248,1519.0,1.0,1.939050110988319,1.939050110988319,0.0,2.170760851353407,true,0.11488776167804392
Brazil,6,DF,Alex Sandro,1991-01-26,45,2,Flamengo,1289,,,,,,,false,
Brazil,7,FW,Vinícius Júnior,2000-07-12,49,9,Real Madrid,7008,2267.0,11.0,12.775075949728489,10.545243106782436,8.0,8.639302698895335,true,0.41864661650216994
Brazil,8,MF,Bruno Guimarães,1997-11-16,43,3,Newcastle United,8327,3321.0,5.0,4.702356463298202,4.702356463298202,6.0,6.579319527372718,true,0.12743513450672633
Brazil,9,FW,Matheus Cunha,1999-05-27,23,1,Manchester United,7080,2617.0,15.0,8.446298986673355,8.446298986673355,6.0,7.411126339808106,true,0.29047264379082993
Brazil,10,FW,Neymar,1992-02-05,128,79,Santos,,,,,,,,false,
Brazil,11,FW,Raphinha,1996-12-14,39,11,Barcelona,8026,2862.0,18.0,19.265995418652892,17.779440259560943,10.0,13.527044044807553,true,0.5591018949547466
Brazil,12,GK,Weverton,1987-12-13,11,0,Grêmio,,,,,,,,false,
Brazil,13,DF,Danilo Luiz,1991-07-15,70,1,Flamengo,11317,275.0,0.0,0.0,0.0,0.0,0.0,true,0.0
Brazil,14,DF,Bremer,1997-03-18,8,1,Juventus,6960,540.0,0.0,0.13108684495091438,0.13108684495091438,0.0,0.0,true,0.021847807491819065
Brazil,15,DF,Léo Pereira,1996-01-31,4,0,Flamengo,,,,,,,,false,
Brazil,16,DF,Douglas Santos,1994-03-22,7,0,Zenit Saint Petersburg,,,,,,,,false,
Brazil,17,MF,Fabinho,1993-10-23,33,0,Al-Ittihad,,,,,,,,false,
Brazil,18,MF,Danilo Santos,2001-04-29,4,2,Botafogo,11317,275.0,0.0,0.0,0.0,0.0,0.0,true,0.0
Brazil,19,FW,Endrick,2006-07-21,17,4,Lyon,12884,324.0,1.0,2.928210226818919,2.928210226818919,0.0,0.664036899805069,true,0.813391729671922
